Year,Admissions,Releases
2004,"52,982","46,624"
2005,"56,057","48,323"
2006,"57,495","47,920"
2007,"53,618","48,764"
2008,"53,662","52,348"
2009,"56,153","50,720"
2010,"54,121","52,487"
2011,"60,634","55,239"
2012,"55,938","56,037"
2013,"53,664","54,785"
2014,"50,865","54,529"
