Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"New Hampshire","New Hampshire","23187259277","1026959156","040","00","1","1","33","33",1316470,1316470,147.0481,8952.65128332641,9349.162,8952.651,396.5112,1316470,649394,667076,1316470,69806,77756,84620,55052,123114,144472,179178,225961,178243,96762,56745,24761,41.1,40.2,42,1316470,1236050,15035,3150,28407,384,12062,21382,1316470,1279766,1215050,13625,2693,28241,329,1803,18025,36704,21000,1410,457,166,55,10259,3357,518973,344197,270635,73562,23315,50247,174776,133057,41719,1316470,1276366,1049546,344197,270635,353164,17298,7460,9769,15554,31469,226820,133057,41719,52044,40104,13113,26991,614754,518973,368316,150657,614754,518973,95781,95781,14080,72851,8850
"New Jersey","New Jersey","19047341691","3544030209","040","00","1","2","34","34",8791894,8791894,1195.49,7354.22020488126,8722.578,7354.22,1368.358,8791894,4279600,4512294,8791894,541020,564750,587335,372109,767228,1109801,1238297,1379196,1046165,611434,394948,179611,39,37.4,40.3,8791894,6029248,1204826,29026,725726,3043,559722,240303,8791894,7236750,5214878,1125401,12227,719827,1963,27610,134844,1555144,814370,79425,16799,5899,1080,532112,105459,3214360,2226606,1643377,583229,154134,429095,987754,811221,176533,8791894,8605018,7385307,2226606,1643377,2690797,161314,111817,121085,223042,207269,1219711,811221,176533,231957,186876,100621,86255,3553562,3214360,2102465,1111895,3553562,3214360,339202,339202,96696,182464,60042
"New Mexico","New Mexico","314160748240","756659673","040","00","4","8","35","35",2059179,2059179,16.97618,121298.145937356,121590.3,121298.1,292.1479,2059179,1017421,1041758,2059179,144981,143308,141691,88692,203539,267245,248523,292009,256936,153794,86468,31993,36.7,35.3,38,2059179,1407876,42550,193222,28208,1810,308503,77010,2059179,1105776,833810,35462,175368,26305,1246,3750,29835,953403,574066,7088,17854,1903,564,304753,47175,791395,518698,358354,160344,49408,110936,272697,221347,51350,2059179,2016550,1681060,518698,358354,594731,67813,23025,19105,43287,56047,335490,221347,51350,62793,42629,25266,17363,901388,791395,542122,249273,901388,791395,109993,109993,23453,50034,36506
"New York","New York","122056806947","19239924100","040","00","1","2","36","36",19378102,19378102,411.1942,47126.4000049421,54554.98,47126.4,7428.576,19378102,9377147,10000955,19378102,1155822,1163955,1211456,793696,1983517,2659337,2610017,2878691,2303668,1360602,866467,390874,38,36.3,39.4,19378102,12740974,3073800,106906,1420244,8766,1441563,585849,19378102,15961180,11304247,2783857,53908,1406194,5320,81620,326034,3416922,1436727,289943,52998,14050,3446,1359943,259815,7317755,4649791,3192903,1456888,366948,1089940,2667964,2130670,537294,19378102,18792424,15410802,4649791,3192903,5610628,392973,273218,253345,520386,517558,3381622,2130670,537294,713658,585678,231163,354515,8108103,7317755,3897837,3419918,8108103,7317755,790348,790348,212825,388445,189078
"North Carolina","North Carolina","125919791207","13471186331","040","00","3","5","37","37",9535483,9535483,196.1311,48617.9044289008,53819.16,48617.91,5201.254,9535483,4645492,4889991,9535483,632040,635945,631104,382546,938618,1246593,1327151,1368646,1138761,697567,389051,147461,37.4,36,38.7,9535483,6528950,2048628,122110,208962,6604,414030,206199,9535483,8735363,6223995,2019854,108829,206579,5259,15088,155759,800120,304955,28774,13281,2383,1345,398942,50440,3745155,2499174,1812029,687145,173010,514135,1245981,1011348,234633,9535483,9278237,7726919,2499174,1812029,2645200,222620,93909,78009,171230,204748,1551318,1011348,234633,305337,257246,113296,143950,4327528,3745155,2497900,1247255,4327528,3745155,582373,582373,163258,279331,139784
"North Dakota","North Dakota","178711239147","4396568298","040","00","2","4","38","38",672591,672591,9.747583,69000.7955681648,70698.32,69000.8,1697.525,672591,339864,332727,672591,44595,40076,39790,25410,81020,90485,75262,96657,81819,46873,33916,16688,37,35.5,38.7,672591,605449,7960,36591,6909,320,3509,11853,672591,659124,598007,7720,35562,6839,290,341,10365,13467,7442,240,1029,70,30,3168,1488,281192,170916,136522,34394,11406,22988,110276,88563,21713,672591,647535,509154,170916,136522,171154,6876,4429,2400,4836,12021,138381,88563,21713,28105,25056,9675,15381,317498,281192,183943,97249,317498,281192,36306,36306,7976,15579,12751
"Ohio","Ohio","105828706692","10269012119","040","00","2","3","39","39",11536504,11536504,282.3375,40860.6928896968,44825.58,40860.69,3964.888,11536504,5632156,5904348,11536504,720856,747889,774699,487307,1099491,1409959,1479831,1742191,1452266,850234,541352,230429,38.8,37.4,40,11536504,9539437,1407681,25292,192233,4066,130030,237765,11536504,11181830,9359263,1389115,20906,190765,3400,15158,203223,354674,180174,18566,4386,1468,666,114872,34542,4603435,2991629,2173477,818152,215841,602311,1611806,1328550,283256,11536504,11230238,9254616,2991629,2173477,3287475,237081,84993,77181,148599,254181,1975622,1328550,283256,363816,306266,166042,140224,5127508,4603435,3111054,1492381,5127508,4603435,524073,524073,192269,156289,175515
"Oklahoma","Oklahoma","177660021556","3377212498","040","00","3","7","40","40",3751351,3751351,54.68847,68594.919624338,69898.87,68594.92,1303.949,3751351,1856977,1894374,3751351,264126,259336,253664,152540,381186,506755,460937,525611,440482,280467,164335,61912,36.2,34.9,37.7,3751351,2706845,277644,321687,65076,4369,154409,221321,3751351,3419344,2575381,272071,308733,64154,3977,2954,192074,332007,131464,5573,12954,922,392,151455,29247,1460450,975267,722435,252832,73524,179308,485183,401153,84030,3751351,3639334,3046381,975267,722435,1046183,97391,31836,25925,64287,83057,592953,401153,84030,107770,112017,64411,47606,1664378,1460450,981760,478690,1664378,1460450,203928,203928,61981,66581,75366
"Oregon","Oregon","248607802255","6191433228","040","00","4","9","41","41",3831074,3831074,39.91201,95988.0128185922,98378.54,95988.02,2390.526,3831074,1896002,1935072,3831074,237556,237214,242553,149130,358778,524144,499525,539075,509566,290041,165620,77872,38.4,37.3,39.5,3831074,3204614,69206,53203,141263,13404,204625,144759,3831074,3381012,3005848,64984,42706,139436,12697,5502,109839,450062,198766,4222,10497,1827,707,199123,34920,1518938,963467,733741,229726,70921,158805,555471,416747,138724,3831074,3744432,3002771,963467,733741,1003171,62794,34119,29525,65884,110070,741661,416747,138724,186190,86642,36612,50030,1675562,1518938,944485,574453,1675562,1518938,156624,156624,42801,84526,29297
"Pennsylvania","Pennsylvania","115883064314","3397122731","040","00","1","2","42","42",12702379,12702379,283.8983,44742.7035739162,46054.34,44742.7,1311.636,12702379,6190363,6512016,12702379,729538,753635,791151,517831,1261381,1511119,1615669,1940404,1622344,979538,674093,305676,40.1,38.7,41.5,12702379,10406288,1377689,26843,349088,3653,300983,237835,12702379,11982719,10094652,1327091,16909,346288,2715,16469,178595,719660,311636,50598,9934,2800,938,284514,59240,5018904,3261307,2417765,843542,229495,614047,1757597,1433415,324182,12702379,12276266,10093306,3261307,2417765,3517169,241953,103358,108965,183723,259066,2182960,1433415,324182,425363,426113,197112,229001,5567315,5018904,3491722,1527182,5567315,5018904,548411,548411,144648,246942,156821
"Rhode Island","Rhode Island","2677566454","1323668539","040","00","1","1","44","44",1052567,1052567,1018.139,1033.81423543275,1544.885,1033.814,511.0713,1052567,508400,544167,1052567,57448,60440,63824,42244,119969,126962,136860,162350,130589,73879,51252,26750,39.4,37.8,40.8,1052567,856869,60189,6058,30457,554,63653,34787,1052567,921912,803685,51560,4020,29988,305,8875,23479,130655,53184,8629,2038,469,249,54778,11308,413600,259561,183904,75657,19694,55963,154039,122488,31551,1052567,1009904,814590,259561,183904,289094,17174,10476,11216,18464,24701,195314,122488,31551,41275,42663,12932,29731,463388,413600,250952,162648,463388,413600,49788,49788,16490,23479,9819
